Source Section	Operation	Category	Type	Invocations
Richards.ns pos=3742 len=13	bitXor:	AnyNode BasicPrimitiveOperation OpArithmetic	int	4992
Richards.ns pos=3742 len=13	bitXor:	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	4992
Richards.ns pos=4518 len=19	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	ref	5
Richards.ns pos=4518 len=19	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	5
Richards.ns pos=4903 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	2327
Richards.ns pos=4903 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	2327
Richards.ns pos=4903 len=7	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	4654
Richards.ns pos=5020 len=18	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1163
Richards.ns pos=5020 len=18	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	1164
Richards.ns pos=5020 len=18	=	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	2327
Richards.ns pos=5316 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	9308
Richards.ns pos=5316 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	9308
Richards.ns pos=5351 len=4	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	8951
Richards.ns pos=5351 len=4	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	357
Richards.ns pos=5351 len=4	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	9308
Richards.ns pos=5454 len=30	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	int	9307
Richards.ns pos=5454 len=30	at:put:	AnyNode ArrayWrite BasicPrimitiveOperation StatementTag	TOTAL	9307
Richards.ns pos=5468 len=12	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	9308
Richards.ns pos=5468 len=12	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	9308
Richards.ns pos=5481 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	int	9308
Richards.ns pos=5481 len=3	-	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	9308
Richards.ns pos=7619 len=7	=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	1
Richards.ns pos=7619 len=7	=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	1
Richards.ns pos=7627 len=21	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	bool	1
Richards.ns pos=7627 len=21	&&	AnyNode BasicPrimitiveOperation OpComparison StatementTag	TOTAL	1
Richards.ns pos=7642 len=6	=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	int	1
Richards.ns pos=7642 len=6	=	AnyNode BasicPrimitiveOperation OpComparison PrimitiveArgument	TOTAL	1
Richards.ns pos=7716 len=12	at:	AnyNode ArrayRead BasicPrimitiveOperation	ref	33244
Richards.ns pos=7716 len=12	at:	AnyNode ArrayRead BasicPrimitiveOperation	TOTAL	33244
Richards.ns pos=7743 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	33245
Richards.ns pos=7743 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	33245
Richards.ns pos=7851 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	9297
Richards.ns pos=7851 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	9297
Richards.ns pos=8235 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	23246
Richards.ns pos=8235 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	23246
Richards.ns pos=8304 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	23246
Richards.ns pos=8304 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	23246
Richards.ns pos=8527 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	ref	9999
Richards.ns pos=8527 len=4	==	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	TOTAL	9999
Richards.ns pos=8599 len=22	>	AnyNode BasicPrimitiveOperation ControlFlowCondition OpComparison	int	9999
