Source Identifier	Activation Count
IntegerLoop>>#benchmark	10
IntegerLoop>>#λbenchmark@194@43:	400010
IntegerLoop>>#verifyResult:	10
IntegerLoop_class>>#newInstance	1
IntegerLoop_class>>#setupVerifiedRun:	1
Loop_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
Loop>>#singleRun	2000
Loop>>#λsingleRun@210@21:	200000
Loop>>#benchmark	10
Loop>>#λbenchmark@219@21:	2000
Loop>>#verifyResult:	10
Loop_class>>#newInstance	1
Loop_class>>#setupVerifiedRun:	1
NonLocalReturn_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
NonLocalReturn>>#first:	2000
NonLocalReturn>>#second:	2000
NonLocalReturn>>#third:	2000
NonLocalReturn>>#nlr	2000
NonLocalReturn>>#λnlr@237@25	2000
NonLocalReturn>>#benchmark	10
NonLocalReturn>>#λbenchmark@242@21:	2000
NonLocalReturn>>#verifyResult:	10
NonLocalReturn_class>>#newInstance	1
NonLocalReturn_class>>#setupVerifiedRun:	1
Exceptions_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
ReturnEx>>#signal:	2000
Exceptions>>#`define`cls	1
ReturnEx>>#initializer`signal:	2000
Exceptions>>#first:	2000
Exceptions>>#second:	2000
Exceptions>>#third:	2000
Exceptions>>#throw	2000
Exceptions>>#benchmark	10
Exceptions>>#λλbenchmark@268@21@269@9	2000
Exceptions>>#λbenchmark@268@21:	2000
Exceptions>>#λλbenchmark@268@21@271@15:	2000
Exceptions>>#verifyResult:	10
Exceptions_class>>#newInstance	1
Exceptions_class>>#setupVerifiedRun:	1
Recurse_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
Recurse>>#benchmark	10
Recurse>>#recurse:	163830
Recurse>>#verifyResult:	10
Recurse_class>>#newInstance	1
Recurse_class>>#setupVerifiedRun:	1
Sum_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
Sum>>#benchmark	10
Sum>>#λbenchmark@305@19:	20
Sum>>#sumFrom:to:	20
Sum>>#λsumFromto@312@25:	200000
Sum>>#verifyResult:	10
Sum_class>>#newInstance	1
Sum_class>>#setupVerifiedRun:	1
WhileLoop_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
WhileLoop>>#singleRun	200
WhileLoop>>#benchmark	10
WhileLoop>>#verifyResult:	10
WhileLoop_class>>#newInstance	1
WhileLoop_class>>#setupVerifiedRun:	1
WhileLoopPoly_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
WhileLoopPoly>>#singleRun	200
WhileLoopPoly>>#benchmark	10
WhileLoopPoly>>#verifyResult:	10
WhileLoopPoly_class>>#newInstance	1
WhileLoopPoly_class>>#setupVerifiedRun:	1
VectorRead_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
VectorRead>>#singleRun	200
VectorRead>>#benchmark	10
VectorRead>>#verifyResult:	10
VectorRead_class>>#newInstance	1
VectorRead_class>>#setupVerifiedRun:	1
Dispatch_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
Dispatch>>#benchmark	10
Dispatch>>#λbenchmark@418@23:	200000
Dispatch>>#method:	200000
Dispatch>>#verifyResult:	10
Dispatch_class>>#newInstance	1
Dispatch_class>>#setupVerifiedRun:	1
DispatchNoArg_class>>#new	1
LanguageFeaturesSuite>>#`define`cls	1
DispatchNoArg>>#benchmark	10
DispatchNoArg>>#λbenchmark@436@23:	200000
