Source Section	Access Type	Data Type	Count
DeltaBlue.ns pos=22445 len=2	read	ALL	3999
DeltaBlue.ns pos=22476 len=8	read	Strength	9999
DeltaBlue.ns pos=22476 len=8	read	ALL	9999
DeltaBlue.ns pos=22497 len=12	read	Strength	9999
DeltaBlue.ns pos=22497 len=12	read	ALL	9999
DeltaBlue.ns pos=22531 len=4	read	False	2000
DeltaBlue.ns pos=22531 len=4	read	True	7999
DeltaBlue.ns pos=22531 len=4	read	ALL	9999
DeltaBlue.ns pos=22547 len=4	read	False	2000
DeltaBlue.ns pos=22547 len=4	read	True	7999
DeltaBlue.ns pos=22547 len=4	read	ALL	9999
DeltaBlue.ns pos=23503 len=9	read	Symbol	207999
DeltaBlue.ns pos=23503 len=9	read	ALL	207999
DeltaBlue.ns pos=23543 len=2	read	Variable	203999
DeltaBlue.ns pos=23543 len=2	read	ALL	203999
DeltaBlue.ns pos=23553 len=2	read	Variable	203999
DeltaBlue.ns pos=23553 len=2	read	ALL	203999
DeltaBlue.ns pos=23556 len=5	read	Integer	203999
DeltaBlue.ns pos=23556 len=5	read	ALL	203999
DeltaBlue.ns pos=23583 len=2	read	Variable	3999
DeltaBlue.ns pos=23583 len=2	read	ALL	3999
DeltaBlue.ns pos=23593 len=2	read	Variable	3999
DeltaBlue.ns pos=23593 len=2	read	ALL	3999
DeltaBlue.ns pos=23596 len=5	read	Integer	3999
DeltaBlue.ns pos=23596 len=5	read	ALL	3999
DeltaBlue.ns pos=24376 len=2	read	Variable	1999
DeltaBlue.ns pos=24376 len=2	read	ALL	1999
DeltaBlue.ns pos=24406 len=2	read	Variable	1999
DeltaBlue.ns pos=24406 len=2	read	ALL	1999
DeltaBlue.ns pos=24436 len=5	read	Variable	1999
DeltaBlue.ns pos=24436 len=5	read	ALL	1999
DeltaBlue.ns pos=24470 len=6	read	Variable	1999
DeltaBlue.ns pos=24470 len=6	read	ALL	1999
DeltaBlue.ns pos=24995 len=9	read	Symbol	48399
DeltaBlue.ns pos=24995 len=9	read	ALL	48399
DeltaBlue.ns pos=25035 len=2	read	Variable	47299
DeltaBlue.ns pos=25035 len=2	read	ALL	47299
DeltaBlue.ns pos=25046 len=2	read	Variable	47299
DeltaBlue.ns pos=25046 len=2	read	ALL	47299
DeltaBlue.ns pos=25049 len=5	read	Integer	47299
DeltaBlue.ns pos=25049 len=5	read	ALL	47299
DeltaBlue.ns pos=25057 len=5	read	Variable	47299
DeltaBlue.ns pos=25057 len=5	read	ALL	47299
DeltaBlue.ns pos=25063 len=5	read	Integer	47299
DeltaBlue.ns pos=25063 len=5	read	ALL	47299
DeltaBlue.ns pos=25072 len=6	read	Variable	47299
DeltaBlue.ns pos=25072 len=6	read	ALL	47299
DeltaBlue.ns pos=25079 len=5	read	Integer	47299
DeltaBlue.ns pos=25079 len=5	read	ALL	47299
DeltaBlue.ns pos=25106 len=2	read	Variable	1099
DeltaBlue.ns pos=25106 len=2	read	ALL	1099
