Name	Executed	Execution Count
Method(ExternalReadStream>>#onDescriptor:)	false	0
Method(ExternalReadStream>>#repositioningAt:)	false	0
Method(ExternalReadStream>>#size)	false	0
Method(ExternalReadStream>>#writeIfNeededBeforePositionChange)	false	0
Method(ExternalReadWriteStream>>#actualAtEnd)	false	0
Method(ExternalReadWriteStream>>#atEnd)	false	0
Method(ExternalReadWriteStream>>#contentsWritten)	false	0
Method(ExternalReadWriteStream>>#externalFlush)	false	0
Method(ExternalReadWriteStream>>#next:put:)	false	0
Method(ExternalReadWriteStream>>#onDescriptor:)	false	0
Method(ExternalReadWriteStream>>#putAll:)	false	0
Method(ExternalReadWriteStream>>#size)	false	0
Method(ExternalReadWriteStream>>#updateBufferLocationAfterFlush)	false	0
Method(ExternalReadWriteStream>>#writeIfNeededBeforePositionChange)	false	0
Method(ExternalStream>>#advanceBuffer)	false	0
Method(ExternalStream>>#close)	false	0
Method(ExternalStream>>#doClose)	false	0
Method(ExternalStream>>#doInitDescriptor:)	false	0
Method(ExternalStream>>#fillBuffer)	false	0
Method(ExternalStream>>#initBuffer)	false	0
Method(ExternalStream>>#initDescriptor:)	false	0
Method(ExternalStream>>#onDescriptor:)	false	0
Method(False>>#and:)	false	0
Method(False>>#asString)	false	0
Method(False>>#ifFalse:)	false	0
Method(False>>#ifTrue:)	false	0
Method(False>>#not)	false	0
Method(False>>#or:)	false	0
Method(FannkuchBenchmark>>#innerBenchmarkLoop:numThreads:)	true	4
Method(Fannkuch>>#createExpectedResults)	true	1
Method(Fannkuch>>#newInstance)	true	1
Method(Fannkuch>>#setupVerifiedRun:)	true	1
Method(Fannkuch>>#makeNext)	true	20160
Method(Fannkuch>>#maxPfannkuchen)	true	4
Method(Fannkuch>>#next)	true	20160
Method(Fannkuch>>#pfannkuchen:)	true	20160
Method(FarReference>>#==)	false	0
Method(FarReference>>#doesNotUnderstand:arguments:)	false	0
Method(FarReference>>#isNil)	false	0
